time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-16T05:27:41.030Z,19.2336673736572,-155.38850402832,32.3600006103516,1.91999996,md,34,161,,0.119999997,hv,hv72951772,2022-03-16T05:31:02.400Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.53,0.689999998,1.91999996,4,automatic,hv,hv
2022-03-16T05:20:31.020Z,38.8165016,-122.8191681,2.61,0.85,md,8,104,0.009892,0.01,nc,nc73706291,2022-03-16T05:30:10.841Z,"7km NW of The Geysers, CA",earthquake,0.62,0.93,,1,automatic,nc,nc
2022-03-16T05:19:58.842Z,38.1709,-118.165,9.7,0.8,ml,8,160.93,0.165,0.0519,nn,nn00835409,2022-03-16T05:24:56.601Z,"24 km SSW of Mina, Nevada",earthquake,,3.2,0.17,5,automatic,nn,nn
2022-03-16T05:12:04.580Z,34.0626667,-116.5178333,10.21,0.96,ml,27,85,0.1064,0.23,ci,ci39969079,2022-03-16T05:15:35.958Z,"6km ENE of Morongo Valley, CA",earthquake,0.38,0.92,0.109,26,automatic,ci,ci
2022-03-16T05:10:30.765Z,61.1671,-151.2972,54.5,1.1,ml,,,,0.59,ak,ak0223g4celg,2022-03-16T05:13:06.264Z,"11 km WNW of Beluga, Alaska",earthquake,,1.6,,,automatic,ak,ak
2022-03-16T05:09:37.010Z,19.36549949646,-155.081665039062,2.51999998092651,1.93,ml,34,158,,0.319999993,hv,hv72951752,2022-03-16T05:15:09.130Z,"12 km SSE of Fern Forest, Hawaii",earthquake,0.51,0.610000014,0.29,4,automatic,hv,hv
2022-03-16T05:02:34.920Z,35.8855,-117.6673333,0.61,0.56,ml,6,94,0.06377,0.14,ci,ci39969071,2022-03-16T05:06:05.967Z,"22km ESE of Little Lake, CA",earthquake,0.32,1.48,0.101,5,automatic,ci,ci
2022-03-16T04:54:12.729Z,-16.1981,-72.0904,35,4.2,mb,,183,2.731,1.3,us,us6000h4yz,2022-03-16T05:20:10.040Z,"21 km NNE of El Pedregal, Peru",earthquake,11.4,2,0.263,5,reviewed,us,us
2022-03-16T04:53:08.637Z,39.4129,-119.9342,7.7,0.8,ml,9,86.53,0.122,0.0752,nn,nn00835407,2022-03-16T04:55:57.255Z,"7 km ENE of Floriston, California",earthquake,,1.6,0.53,6,automatic,nn,nn
2022-03-16T04:35:01.787Z,62.6702,-150.8118,83.3,1.5,ml,,,,0.94,ak,ak0223g3w9o0,2022-03-16T04:42:36.917Z,"19 km N of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
